stage,task_type,run_id,model_id,seed,fraction_code,status,elapsed_seconds,artifact_sha256,source_commit
week5,downstream_anchor,week5-m4-f10-seed29,M4,29,10,success,144.1169219,7acdf492d9063511b44bc8bcc76f1332313e372b17aa563fc87a9ed5824e892b,634e2cd6774ebca7bc7edb2bb736230d4e741ec7
week5,downstream_anchor,week5-m4-f10-seed43,M4,43,10,success,154.370052,77136767301f2ad50724616de6830aca51efc08566ba36863b1c78831ceb74de,634e2cd6774ebca7bc7edb2bb736230d4e741ec7
week5,downstream_anchor,week5-m4-f100-seed17,M4,17,100,success,474.5580879,2bf88010ca4c199bbf113f3aeb44fbcbaf453bf8f88e8cd06caff911aaac689a,634e2cd6774ebca7bc7edb2bb736230d4e741ec7
week5,downstream_anchor,week5-m4-f100-seed29,M4,29,100,success,472.4419669,61089d119135dab771a39cb19cf61410c46744a2f37018541db1888c85478250,634e2cd6774ebca7bc7edb2bb736230d4e741ec7
week5,downstream_anchor,week5-m4-f100-seed43,M4,43,100,success,519.2769375,e0e5216663d1aeaa20aa92dcc142b493ff8206fa8291ecb6c17b106d16ff240b,634e2cd6774ebca7bc7edb2bb736230d4e741ec7
week6,downstream_curve,week6-m0-f05-seed17,M0,17,05,success,158.6558554,b4de0447ad931997171ce13daff93a15e0980145c16cb87a243f2b31e940570d,290ce812a5f2545e5e49c18a4195bc9a05bc294a
week6,downstream_curve,week6-m0-f05-seed29,M0,29,05,success,133.8297157,71a61cb4ff2c51459c9540529b2809eb78fc63ab6f8e98315bcd72f8bbc317d5,290ce812a5f2545e5e49c18a4195bc9a05bc294a
week6,downstream_curve,week6-m0-f05-seed43,M0,43,05,success,133.3363348,c0b4b139290a89166cae6a57d3a02b639df6f42aeae49b1045292a9058458a38,290ce812a5f2545e5e49c18a4195bc9a05bc294a
week6,downstream_curve,week6-m0-f25-seed17,M0,17,25,success,231.5957833,e357b960f8da7ff55d967d739e186e725f981d10e422a54baab559b19472bee0,290ce812a5f2545e5e49c18a4195bc9a05bc294a
week6,downstream_curve,week6-m0-f25-seed29,M0,29,25,success,200.316603,a59eb38dcee7a6a896fe2ffc6acc1bdf9435ef2ca4d80bb240c97afcac8ce082,290ce812a5f2545e5e49c18a4195bc9a05bc294a
week6,downstream_curve,week6-m0-f25-seed43,M0,43,25,success,202.097767,fcce1d50ba23ed79c5636815cc497441252f9a6b52531a8cb02c71e473e039e4,290ce812a5f2545e5e49c18a4195bc9a05bc294a
week6,downstream_curve,week6-m0-f50-seed17,M0,17,50,success,342.9879168,9c86c497a666e5c51bb6011453a19164c73fc2d1c27bbffac3a718cc4fd1e7ed,290ce812a5f2545e5e49c18a4195bc9a05bc294a
week6,downstream_curve,week6-m0-f50-seed29,M0,29,50,success,288.7197917,6af207c6c38fe41c582946a8aaa1d06df7fad98e0685851654ff68acce575619,290ce812a5f2545e5e49c18a4195bc9a05bc294a
week6,downstream_curve,week6-m0-f50-seed43,M0,43,50,success,294.0576697,f70b2b656211028bf75f41f1d03c0542bd1c1eff1aaf74c0ac8c3bb5210ed628,290ce812a5f2545e5e49c18a4195bc9a05bc294a
week6,downstream_curve,week6-m1-f05-seed17,M1,17,05,success,139.0141797,b918d7e88c7e028d89211e0b96243cd04ebebbf6683305f555d101feadb297eb,290ce812a5f2545e5e49c18a4195bc9a05bc294a
week6,downstream_curve,week6-m1-f05-seed29,M1,29,05,success,119.5960316,e5a309637b3db7d73690f2bee406cc7125b849794d72048f03a7d5832e86d78d,290ce812a5f2545e5e49c18a4195bc9a05bc294a
week6,downstream_curve,week6-m1-f05-seed43,M1,43,05,success,124.0583852,b5f9e274f5c5d9207fe696e2060fdc964e3ffdc91e2c4f27e3c576539e694cd0,290ce812a5f2545e5e49c18a4195bc9a05bc294a
week6,downstream_curve,week6-m1-f25-seed17,M1,17,25,success,215.838819,f6e89e625dfdec077ff365d4d2d026015b690a60354c4d1e35527c81a92058bc,290ce812a5f2545e5e49c18a4195bc9a05bc294a
week6,downstream_curve,week6-m1-f25-seed29,M1,29,25,success,188.3959433,1dc936ebdd504bf65f8e2ba642c7cbc49c2e744d62be21ad94d05fb86ff8b8a6,290ce812a5f2545e5e49c18a4195bc9a05bc294a
week6,downstream_curve,week6-m1-f25-seed43,M1,43,25,success,188.5057244,d05eed15f14e1cc42deea2f2afd688c3d9c9f7e2297874621a6a187e8fd96c0d,290ce812a5f2545e5e49c18a4195bc9a05bc294a
week6,downstream_curve,week6-m1-f50-seed17,M1,17,50,success,325.8704684,e242e7ba495bfae1cf340feba676e92b9eca73cd37aae327e1369ce879b3ba73,290ce812a5f2545e5e49c18a4195bc9a05bc294a
week6,downstream_curve,week6-m1-f50-seed29,M1,29,50,success,274.9718673,456f4238752857f9f0e735a830ca0239d54d32768fda6decbeebec98e5b6aecc,290ce812a5f2545e5e49c18a4195bc9a05bc294a
week6,downstream_curve,week6-m1-f50-seed43,M1,43,50,success,282.9744247,2e5fb852b8e1652ac89441ed354be8a2a26eb828da5ced0cfd1f5aca65717a73,290ce812a5f2545e5e49c18a4195bc9a05bc294a
week6,downstream_curve,week6-m1rgb-f10-seed17,M1RGB,17,10,success,101.7111854,f2dedbaf98ede26e594b383f0049539a3a6cc7f4e032a02599b09db4471d21b7,290ce812a5f2545e5e49c18a4195bc9a05bc294a
week6,downstream_curve,week6-m1rgb-f10-seed29,M1RGB,29,10,success,90.78768742,0c8f040a3b2ba4afd3f1ef044e4c971bc398ae90d75ed9e7e2dc67b43e872e50,290ce812a5f2545e5e49c18a4195bc9a05bc294a
