run_id,model_id,probe_type,fraction_code,seed,sample_count,validation_supported_map,selected_hyperparameter,feature_cache_sha256
week9-m2-knn-f10-seed29,M2,knn,10,29,1200,0.3349106462959282,50.0,d377b5de1f3ddda1ddfe542eb47b6e618dddeaf31a2e9d38fc83a4c1a2721bcd
week9-m3-knn-f10-seed29,M3,knn,10,29,1200,0.33476678640215524,50.0,2fede5c4314fe407dd17c546f7412c586b960258d871a06b7fc9baf5799af0ac
week9-m4-knn-f10-seed29,M4,knn,10,29,1200,0.3467268796445092,50.0,3abd99ef140bde5e9320aa3112afc43157fb57cde28562b66dba63f709bf39be
week9-m1-knn-f10-seed43,M1,knn,10,43,1200,0.4182761588238835,50.0,7c10325b8475abcaaced33a2329e1b9ab72e53158f2f3b48ae654f6d9eb18339
week9-m2-knn-f10-seed43,M2,knn,10,43,1200,0.2847317971248946,50.0,99bb73629172260c83144f08d794343fead7e59d75b35f568243198fb9dc04f2
week9-m3-knn-f10-seed43,M3,knn,10,43,1200,0.33953921551317245,50.0,422eaac47816faabf3e4406008e5eaef656c60f8ad7a4c6f2752265d8db92c20
week9-m4-knn-f10-seed43,M4,knn,10,43,1200,0.32634468026892216,50.0,6c1e68de14aafeabc93e83e9dc5c2af5043a42f9914e399fbeec993a84a9cf57
week7-m5-knn-f10-seed17,M5,knn,10,17,1200,0.4517493904521305,50.0,378efc536bfe05d979c3cac821c8f071fc24820f7268ebe526c9802f0d40a407
week7-m5-knn-f10-seed29,M5,knn,10,29,1200,0.41715448882927914,50.0,378efc536bfe05d979c3cac821c8f071fc24820f7268ebe526c9802f0d40a407
week7-m5-knn-f10-seed43,M5,knn,10,43,1200,0.43486757738525006,50.0,378efc536bfe05d979c3cac821c8f071fc24820f7268ebe526c9802f0d40a407
week7-m6-knn-f10-seed17,M6,knn,10,17,1200,0.5175407905950944,50.0,aecbc0d19650e3a4b97faa34d1a3a15ff348e4c94d0779ee383dcc89e81c0882
week7-m6-knn-f10-seed29,M6,knn,10,29,1200,0.5218989066089669,20.0,aecbc0d19650e3a4b97faa34d1a3a15ff348e4c94d0779ee383dcc89e81c0882
week7-m6-knn-f10-seed43,M6,knn,10,43,1200,0.5002496281691714,50.0,aecbc0d19650e3a4b97faa34d1a3a15ff348e4c94d0779ee383dcc89e81c0882
