run_id,model_id,fraction_code,seed,domain,class_index,class_name,positive_count,negative_count,average_precision,recall_at_0_5,recall_at_source_v_threshold,f1_at_0_5,f1_at_source_v_threshold,ece_15bin,in_c_source
week5-m0-f10-seed17,M0,10,17,Finland,16,Permanent crops,1,3999,0.002531645569620253,0.0,0.0,0.0,0.0,0.017910810792146382,True
week5-m0-f10-seed17,M0,10,17,Finland,17,"Transitional woodland, shrub",1574,2426,0.518235110628385,0.37166454891994916,0.414866581956798,0.43221278167713334,0.4568030779993005,0.1734444992007912,True
week5-m0-f10-seed17,M0,10,17,Finland,18,Urban fabric,116,3884,0.2637661691064385,0.33620689655172414,0.3620689655172414,0.2775800711743772,0.267515923566879,0.0525313405977519,True
week5-m0-f10-seed17,M0,10,17,Portugal,0,Agro-forestry areas,1408,2592,0.3567103676532313,0.0,0.0,0.0,0.0,0.35175359506317366,False
week5-m0-f10-seed17,M0,10,17,Portugal,1,Arable land,1646,2354,0.653317928755049,0.8292831105710814,0.8456865127582017,0.6586248492159228,0.6612826603325416,0.24525206362105462,True
week5-m0-f10-seed17,M0,10,17,Portugal,2,"Beaches, dunes, sands",46,3954,0.059907143988794896,0.0,0.0,0.0,0.0,0.007137830536368539,False
week5-m0-f10-seed17,M0,10,17,Portugal,3,Broad-leaved forest,1588,2412,0.5379639246341519,0.39231738035264485,0.4420654911838791,0.4517766497461929,0.48380427291523087,0.1998633662239613,True
week5-m0-f10-seed17,M0,10,17,Portugal,4,Coastal wetlands,45,3955,0.023714190126418216,0.0,0.0,0.0,0.0,0.009634309511425285,False
week5-m0-f10-seed17,M0,10,17,Portugal,5,Complex cultivation patterns,816,3184,0.28146575868976104,0.6004901960784313,0.6397058823529411,0.3620243812338382,0.365802382620883,0.27718487448566004,True
week5-m0-f10-seed17,M0,10,17,Portugal,6,Coniferous forest,385,3615,0.16792418672650955,0.38181818181818183,0.4025974025974026,0.2335186656076251,0.23646071700991608,0.1864291940630347,True
week5-m0-f10-seed17,M0,10,17,Portugal,7,Industrial or commercial units,95,3905,0.09586633189021829,0.021052631578947368,0.031578947368421054,0.0380952380952381,0.05555555555555555,0.004903605477131487,True
week5-m0-f10-seed17,M0,10,17,Portugal,8,Inland waters,206,3794,0.2743323592659454,0.16990291262135923,0.18446601941747573,0.25735294117647056,0.2714285714285714,0.027790837848329267,True
week5-m0-f10-seed17,M0,10,17,Portugal,9,Inland wetlands,4,3996,0.010054513308842309,0.0,0.0,0.0,0.0,0.013754910148368745,True
week5-m0-f10-seed17,M0,10,17,Portugal,10,"Land principally occupied by agriculture, with significant areas of natural vegetation",763,3237,0.20776183403273035,0.46526867627785057,0.5190039318479686,0.3056392595781317,0.3218203982121089,0.26428213060256656,True
week5-m0-f10-seed17,M0,10,17,Portugal,11,Marine waters,498,3502,0.9434740519848167,0.8634538152610441,0.8634538152610441,0.9148936170212766,0.9139213602550478,0.01597148345410732,True
week5-m0-f10-seed17,M0,10,17,Portugal,12,Mixed forest,587,3413,0.2189602999036487,0.18568994889267462,0.21635434412265758,0.2143559488692232,0.23367065317387303,0.12345299061764292,True
week5-m0-f10-seed17,M0,10,17,Portugal,13,"Moors, heathland and sclerophyllous vegetation",507,3493,0.15904043852460245,0.11637080867850098,0.126232741617357,0.145679012345679,0.15311004784688995,0.13596514084929626,True
week5-m0-f10-seed17,M0,10,17,Portugal,14,Natural grassland and sparsely vegetated areas,50,3950,0.014701127706251094,0.26,0.28,0.022628372497824196,0.022782750203417412,0.2836774460014912,True
week5-m0-f10-seed17,M0,10,17,Portugal,15,Pastures,579,3421,0.19823226839018576,0.18134715025906736,0.19689119170984457,0.21,0.2124883504193849,0.15550583313014002,True
week5-m0-f10-seed17,M0,10,17,Portugal,16,Permanent crops,963,3037,0.33435692230003633,0.006230529595015576,0.009345794392523364,0.012036108324974924,0.017839444995044598,0.20924747965422377,True
week5-m0-f10-seed17,M0,10,17,Portugal,17,"Transitional woodland, shrub",1752,2248,0.48443550378234357,0.22488584474885845,0.2522831050228311,0.30578191695770274,0.32825844782770147,0.2704181298412249,True
week5-m0-f10-seed17,M0,10,17,Portugal,18,Urban fabric,325,3675,0.38026883694583224,0.5538461538461539,0.5846153846153846,0.36772216547497444,0.3486238532110092,0.15729643830297738,True
week5-m0-f100-seed17,M0,100,17,I,0,Agro-forestry areas,0,3000,,,,,,2.8886091859031182e-05,False
week5-m0-f100-seed17,M0,100,17,I,1,Arable land,1036,1964,0.9237988705622799,0.8397683397683398,0.8754826254826255,0.8389585342333655,0.8241708314402544,0.04924743397543664,True
week5-m0-f100-seed17,M0,100,17,I,2,"Beaches, dunes, sands",24,2976,0.09507234769379325,0.0,0.0,0.0,0.0,0.006272879491810995,False
week5-m0-f100-seed17,M0,100,17,I,3,Broad-leaved forest,718,2282,0.7324773828424969,0.6629526462395543,0.7883008356545961,0.6713681241184767,0.7031055900621118,0.03984590793185079,True
week5-m0-f100-seed17,M0,100,17,I,4,Coastal wetlands,1,2999,0.003289473684210526,0.0,0.0,0.0,0.0,0.0001426629969049455,False
week5-m0-f100-seed17,M0,100,17,I,5,Complex cultivation patterns,665,2335,0.6363109773732029,0.6270676691729323,0.7684210526315789,0.5961401000714797,0.611244019138756,0.05395810774430784,True
week5-m0-f100-seed17,M0,100,17,I,6,Coniferous forest,580,2420,0.8816601982565367,0.7879310344827586,0.8396551724137931,0.7968613775065388,0.7817014446227929,0.025499020134616055,True
week5-m0-f100-seed17,M0,100,17,I,7,Industrial or commercial units,87,2913,0.46480060555217834,0.3333333333333333,0.41379310344827586,0.43283582089552236,0.48,0.011322400177968641,True
week5-m0-f100-seed17,M0,100,17,I,8,Inland waters,208,2792,0.5792216279619168,0.6201923076923077,0.6682692307692307,0.6042154566744731,0.5791666666666667,0.033521459379398974,True
