hypothesis,left_model,right_model,fraction_code,domain,grouping,observed_paired_difference,bootstrap_mean,percentile_2_5,percentile_97_5,replicates,p_value
H1,M3,M0,10,Portugal,MGRS,-0.016465302512858732,-0.017051260687599174,-0.0196098602024208,-0.013309392882342582,1000,
H1,M3,M0,10,OOD,MGRS,-0.02865952225606121,-0.02971949455731002,-0.03800369271452992,-0.021019793744983056,1000,
H1,M3,M0,10,I,12km-block,-0.04980826059399118,-0.049608855162478024,-0.05875015057286085,-0.039777154096305424,1000,
H1,M3,M0,10,Finland,12km-block,-0.04085374199926369,-0.04162696587759899,-0.055411247540233,-0.0284382676331735,1000,
H1,M3,M0,10,Portugal,12km-block,-0.016465302512858732,-0.016521326560673885,-0.02139142402917392,-0.01198143342150562,1000,
H1,M3,M0,10,OOD,12km-block,-0.02865952225606121,-0.02907414621913643,-0.035948952683570096,-0.022072669426137573,1000,
H1,M3,M0,25,I,MGRS,-0.02300955308832575,-0.023594348945022853,-0.037678592895460356,-0.009271255848764365,1000,
H1,M3,M0,25,Finland,MGRS,-0.020096214551149516,-0.025137105715551077,-0.04898854351185354,-0.0040382314111187785,1000,
H1,M3,M0,25,Portugal,MGRS,-0.006931332680535233,-0.007426225000463784,-0.026053283820402156,0.0002358377009233914,1000,
H1,M3,M0,25,OOD,MGRS,-0.013513773615842375,-0.01628166535800743,-0.02975202768021547,-0.0044538187439014335,1000,
H1,M3,M0,25,I,12km-block,-0.02300955308832575,-0.022671964843219507,-0.030429361882343346,-0.01492994289380144,1000,
H1,M3,M0,25,Finland,12km-block,-0.020096214551149516,-0.02153518283257701,-0.035161647433406065,-0.004553178172435125,1000,
H1,M3,M0,25,Portugal,12km-block,-0.006931332680535233,-0.0072775795141021005,-0.01333931841561549,-0.0021666296386533995,1000,
H1,M3,M0,25,OOD,12km-block,-0.013513773615842375,-0.014406381173339554,-0.021871798856871256,-0.006058178634635368,1000,
H1,M3,M0,50,I,MGRS,-0.012956583506176863,-0.01305585070913696,-0.021330381551752042,-0.004213741063635795,1000,
H1,M3,M0,50,Finland,MGRS,-0.016815448169966756,-0.017147333968443264,-0.03011895820513614,-0.003505763520527559,1000,
H1,M3,M0,50,Portugal,MGRS,-0.019085272429357886,-0.01855631797081153,-0.03408348837741439,-0.004901355023028575,1000,
H1,M3,M0,50,OOD,MGRS,-0.01795036029966232,-0.017851825969627394,-0.02686021777895379,-0.008368880717385039,1000,
