run_id,model_id,fraction_code,seed,domain,sample_count,supported_map,all_class_map,macro_f1_at_0_5,micro_f1_at_0_5,macro_f1_at_source_v_threshold,micro_f1_at_source_v_threshold,source_v_threshold,binary_brier_score,macro_classwise_ece_15bin,mgrs_group_count,block_12km_count,country_count,quarter_count
week6-m2-f50-seed17,M2,50,17,I,3000,0.4835146054339026,0.43175286481384656,0.38519450766144847,0.6031607765057242,0.3998093691938017,0.5901887554254568,0.3,0.0824268807001939,0.05709116571614916,8,193,5,4
week6-m2-f50-seed17,M2,50,17,Finland,4000,0.30756210295615527,0.27383035450060483,0.23035327160321828,0.398860999789074,0.2558117665402923,0.4385855304260902,0.3,0.11247216304217782,0.11894663972991616,21,1012,1,4
week6-m2-f50-seed17,M2,50,17,Portugal,4000,0.2935832335355275,0.2728995874692403,0.2221584279897387,0.31143278148565484,0.25512656122812577,0.3643173306094654,0.3,0.15669002997173534,0.14834041389118344,3,286,1,4
week6-m2-f50-seed17,M2,50,17,OOD,8000,0.3005726682458414,,,,,,0.3,,,24,1298,2,4
week6-m3-f05-seed17,M3,05,17,I,3000,0.34990397276980706,0.3126867433940873,0.3303021805212407,0.5134099616858238,0.3303021805212407,0.5134099616858238,0.49999999999999994,0.12718589670167849,0.11483409682742265,8,193,5,4
week6-m3-f05-seed17,M3,05,17,Finland,4000,0.2847046906474286,0.25373028387879937,0.2338022414699643,0.4137290642088248,0.2338022414699643,0.4137290642088248,0.49999999999999994,0.163236537709072,0.19022966949544742,21,1012,1,4
week6-m3-f05-seed17,M3,05,17,Portugal,4000,0.28549678516921606,0.26227446694545953,0.23447014586601406,0.3732234809474768,0.23447014586601406,0.3732234809474768,0.49999999999999994,0.1804533911067177,0.18091421650995657,3,286,1,4
week6-m3-f05-seed17,M3,05,17,OOD,8000,0.28510073790832235,,,,,,0.49999999999999994,,,24,1298,2,4
week6-m3-f25-seed17,M3,25,17,I,3000,0.4878375593786788,0.43528783041812025,0.4003740580478745,0.6077124494168056,0.40706558071084215,0.6044886146453339,0.39999999999999997,0.08462512631762842,0.062064341482158704,8,193,5,4
week6-m3-f25-seed17,M3,25,17,Finland,4000,0.36202141795398785,0.3221664640944107,0.26672241492160387,0.45377242565740966,0.27794639944615906,0.46025468295014993,0.39999999999999997,0.10768852613159663,0.11994302876806269,21,1012,1,4
week6-m3-f25-seed17,M3,25,17,Portugal,4000,0.3203121242043286,0.29698363272247474,0.2548865633108588,0.3436372581174155,0.2668166520133569,0.36600127814743805,0.39999999999999997,0.16025449090132834,0.14920908627079923,3,286,1,4
week6-m3-f25-seed17,M3,25,17,OOD,8000,0.3411667710791582,,,,,,0.39999999999999997,,,24,1298,2,4
week6-m3-f50-seed17,M3,50,17,I,3000,0.529353135436225,0.4729993099385926,0.44111789661865497,0.6508093414061534,0.4486983944275706,0.647788013192312,0.39999999999999997,0.07467845974417997,0.049553871913429595,8,193,5,4
week6-m3-f50-seed17,M3,50,17,Finland,4000,0.3665647569967587,0.3280306104872317,0.28732934326095333,0.5242083758937691,0.3009829548238565,0.5322173384457122,0.39999999999999997,0.09259561242022726,0.09756818467493346,21,1012,1,4
week6-m3-f50-seed17,M3,50,17,Portugal,4000,0.33097170362344663,0.30832232215264826,0.26414046788715967,0.34861439312567133,0.27722761205475954,0.3713411284626854,0.39999999999999997,0.15462912752328856,0.14078802195102577,3,286,1,4
week6-m3-f50-seed17,M3,50,17,OOD,8000,0.3487682303101027,,,,,,0.39999999999999997,,,24,1298,2,4
week6-m4-f05-seed17,M4,05,17,I,3000,0.3638784920322773,0.32700247632851487,0.33494902490059647,0.5115318085719777,0.33494902490059647,0.5115318085719777,0.49999999999999994,0.13183611858948807,0.1223058064206299,8,193,5,4
week6-m4-f05-seed17,M4,05,17,Finland,4000,0.2628255981063411,0.2344964964827437,0.20952953683332307,0.3586798433712474,0.20952953683332307,0.3586798433712474,0.49999999999999994,0.16935559340647008,0.19378704212575606,21,1012,1,4
week6-m4-f05-seed17,M4,05,17,Portugal,4000,0.2807957480534832,0.26373176378246943,0.22435204097018738,0.3365308749636643,0.22435204097018738,0.3365308749636643,0.49999999999999994,0.1673292595301342,0.16257438128158305,3,286,1,4
week6-m4-f05-seed17,M4,05,17,OOD,8000,0.27181067307991214,,,,,,0.49999999999999994,,,24,1298,2,4
week6-m4-f25-seed17,M4,25,17,I,3000,0.4908012960101811,0.4389696145379863,0.3966840171873771,0.6067669620027353,0.4012296368427895,0.605404792929579,0.44999999999999996,0.08433405488654251,0.0602766324593223,8,193,5,4
week6-m4-f25-seed17,M4,25,17,Finland,4000,0.34170126680320956,0.31119323122514336,0.25362159837068265,0.47430448222565685,0.2588934612891663,0.4787701317715959,0.44999999999999996,0.1086069473029884,0.12009205009136048,21,1012,1,4
week6-m4-f25-seed17,M4,25,17,Portugal,4000,0.3153158277228742,0.29487499270717027,0.24388422698728143,0.35400075053162655,0.2496181506628212,0.3635497698047309,0.44999999999999996,0.15631413075462966,0.14730624920513744,3,286,1,4
week6-m4-f25-seed17,M4,25,17,OOD,8000,0.3285085472630419,,,,,,0.44999999999999996,,,24,1298,2,4
week6-m4-f50-seed17,M4,50,17,I,3000,0.5353587657336927,0.47983417790928545,0.44155573529382086,0.6576661041315082,0.4472277351941354,0.6576381365113759,0.44999999999999996,0.07158715693936016,0.04625447455184584,8,193,5,4
week6-m4-f50-seed17,M4,50,17,Finland,4000,0.34447914150334347,0.30734595976024315,0.2597330762351152,0.5203918432626949,0.26792372610521326,0.5261602973410845,0.44999999999999996,0.0944639656822043,0.10076152339610289,21,1012,1,4
