family,run_id,model_id,fraction_code,seed,checkpoint_sha256,validation_macro_average_precision
controlled,week5-m1-f100-seed43,M1,100,43,5f0b32ef25fc51ca9127f2bdf9c755c984bf20ca07dcd5a3b2796bdd98430fb3,0.6164335417049768
controlled,week5-m2-f01-seed17,M2,01,17,6b2b9dcfadc5c5407e02787f4768c96d9380ea679e20a7f97078f05c30bb9c1b,0.3259947918481933
controlled,week6-m2-f05-seed17,M2,05,17,fd2812a0dc04bd1a4eb5fe0152c1661eebfa5e96db1f2b05d1b81f1b8067031d,0.3663364480996006
controlled,week5-m2-f10-seed17,M2,10,17,33d4d38ce3350e0f620fce808659d231f058f7ea7daf75d9b459ebbebd6b8cac,0.3847321732562178
controlled,week6-m2-f25-seed17,M2,25,17,f95b8c8d035ce400462e2a7c74a1dd590f89017a1bc6d666dc968e28dc70c68e,0.4401811366485877
controlled,week6-m2-f50-seed17,M2,50,17,838305b638edc68df7dc03efceb82d69a428e419dd9ee6160cdad2554a551613,0.4755227932363461
controlled,week5-m2-f100-seed17,M2,100,17,edc6dbeca9a9b8874e40a093cf415233fc0f87d057172a3545b09b4e887cea4d,0.5129652584309567
controlled,week5-m2-f01-seed29,M2,01,29,f1b1c9118658b307aabcabc3e260dd1f4d95539fd34cf335da33a9d3c4fcfe2c,0.3111852073339795
controlled,week6-m2-f05-seed29,M2,05,29,92d860cc95b7d71e35e2a9dd9e81fd1e02f3268efe8e0e348128c2c507a899ad,0.3732544827159697
controlled,week5-m2-f10-seed29,M2,10,29,dfc34e250e7244617d8f7f4fb4ddf5192b6b73f85ff5d327a3e5772403303712,0.421195909041947
controlled,week6-m2-f25-seed29,M2,25,29,a0039ed89c52c994ac3e9636fd41921d6b7471830fb5d38dceec6fd485f13535,0.447875345062773
controlled,week6-m2-f50-seed29,M2,50,29,1a587fd501d5e5cc4ea8bb879d2ea65bcf4c0d14107c9d9cf620a92fd067393e,0.4720464426651716
controlled,week5-m2-f100-seed29,M2,100,29,61c4a643e0c6b0f79f0612cffd05f6d2d7e0b20dba5dde5a7c2e000d3b937b7b,0.5034710536196166
controlled,week5-m2-f01-seed43,M2,01,43,b0918d8597f93c4ece2672a927804ed8446b12973a77b9f15e7bcc2997a1e4a2,0.2945266167988825
controlled,week6-m2-f05-seed43,M2,05,43,c80bc0662474ee6308f50271b7b323fad6aff10c28cf8f2435dce72e88ae82e9,0.3618778703010691
controlled,week5-m2-f10-seed43,M2,10,43,5a025f5703e24a56a875a1ef53a28315c271917f83ce7237a230cd383530fb7d,0.4056438135828547
controlled,week6-m2-f25-seed43,M2,25,43,abc5c9c29695c14141338b394dfd49048041f301e86fd19f69935857f79ae7e6,0.443189699926284
controlled,week6-m2-f50-seed43,M2,50,43,de357389a838b00be4f856949ff499db56b416e4a85c401989ea67c3b173b8e9,0.4674403131961314
controlled,week5-m2-f100-seed43,M2,100,43,e79e6f6b62f7f8adcbd4689059da9fcf44ff1ad74518f9e93b960e4e9e8204c0,0.5119096372383628
controlled,week5-m3-f01-seed17,M3,01,17,975f5a9bf495fe04b8b34374bf92f56b66d1f4833aa5b0c6dc59f889f53a5c8e,0.3480971198163374
controlled,week6-m3-f05-seed17,M3,05,17,239eea5218e64cca84a76f37a16d9533a383198ea01265e4b2a56b3415983102,0.3992735284471633
controlled,week5-m3-f10-seed17,M3,10,17,e680e3f885a3c8942b594117880f956a167d6290d74d2bcf3125a5cb0b87db8d,0.4407559328948199
controlled,week6-m3-f25-seed17,M3,25,17,9f1e794914e1197cdd5d4c6fe7d66b1590ed9bf7bc7e2d32aad320fa07317580,0.5182024499952259
controlled,week6-m3-f50-seed17,M3,50,17,1cc7bd57a77252d0d67bddd44fa723e8b4f1b8f73413ef0819487c98829fee13,0.5564675282619578
controlled,week5-m3-f100-seed17,M3,100,17,078ff4a58f83cbe6d408b2588ae75f0b482bf8b02e7d97b0d38f137d2d830770,0.5821884799466732
controlled,week5-m3-f01-seed29,M3,01,29,29d58c5d98c5aa761c0bbc60cccb3744d99a7deb134edafc6aa95619e101e0e9,0.3306401245721
controlled,week6-m3-f05-seed29,M3,05,29,c0dbe4793588949408cd5925edbaedab003343423738f23eedc4cc68d7cdc686,0.3755028335579756
controlled,week5-m3-f10-seed29,M3,10,29,1e9cd801aed56c4f1e987fbd5965e93a574880b9279991d1098fc117d49cf623,0.4623816517337272
controlled,week6-m3-f25-seed29,M3,25,29,8cfb6d42ba115cd6278f355aaeb85b42b053f0594b2377153c32ae566f1db894,0.5482564546465571
controlled,week6-m3-f50-seed29,M3,50,29,eb9529b015d31fc88eb4ee6703fe8bc2abc74969f78a769695172baa3b29367a,0.5875742983365454
controlled,week5-m3-f100-seed29,M3,100,29,a693d1a745a415958cfb7dab19bd195055376d0332d8e4fb45eefdacc4496be5,0.603940758672652
controlled,week5-m3-f01-seed43,M3,01,43,a26c16d9e08dec57986d8839055555ec17820f240aae8687e1989b69773c6da7,0.3224638531887799
controlled,week6-m3-f05-seed43,M3,05,43,6f233592f3c3783aa027fbd834dce4f71130ae93a6b7c95e93eb27625e164bef,0.3976839937783007
controlled,week5-m3-f10-seed43,M3,10,43,b9d7385cd49b7271e0cba07a1add38121b77934b10be9075ac1028280e5f1a80,0.454725566018624
controlled,week6-m3-f25-seed43,M3,25,43,07da9fe39c0c936ec179302a275ce159542765d76e8118ec00e79cc7d7ae637e,0.5536524068375873
controlled,week6-m3-f50-seed43,M3,50,43,823a1f6f65dae5a5388e2463e870fa16f436168ec3687c6535f747743a57412b,0.5790846071002566
controlled,week5-m3-f100-seed43,M3,100,43,64f0a041ccec981a49725e081f41bcd9b7710aa7ed64ef386550f83a06e75fbb,0.6010605683523231
controlled,week5-m4-f01-seed17,M4,01,17,d97b5409209cecb0c36d3d25d4964e8fc0c355c4090e4855ace92e648d96387d,0.3343018984944719
controlled,week6-m4-f05-seed17,M4,05,17,b86a18460972f7de2d9b9e61f9469e2364fac5f2657f4ac738cfc4691370c158,0.38827343188751
controlled,week5-m4-f10-seed17,M4,10,17,b5f6fdea0e8b0752d9b26eadc3f5a97ff0651f0c7d68327249d026f273ebf6c8,0.4229760620182033
controlled,week6-m4-f25-seed17,M4,25,17,cb5ca3d7ba0dd809513acca803ce357fa65868b06d33306add465b19d66943af,0.5353934460670478
controlled,week6-m4-f50-seed17,M4,50,17,bb87b61c3045206c8ce1f8036ad74eeb3e3ef1b6d6732c5fc88f90c77067f7c1,0.5808782435035085
controlled,week5-m4-f100-seed17,M4,100,17,2bf88010ca4c199bbf113f3aeb44fbcbaf453bf8f88e8cd06caff911aaac689a,0.5942416072722279
controlled,week5-m4-f01-seed29,M4,01,29,2e263593b3115e755192859af3967a2ba46b70a12449fb34f58a51643621154a,0.324060614998061
controlled,week6-m4-f05-seed29,M4,05,29,b9ac9d8f9466ce6174c9e5e6147acdac4ca5e9f3d960154aad9e479abfadc314,0.383647175835886
controlled,week5-m4-f10-seed29,M4,10,29,7acdf492d9063511b44bc8bcc76f1332313e372b17aa563fc87a9ed5824e892b,0.4666927384866345
controlled,week6-m4-f25-seed29,M4,25,29,5f89fd3e9c98ca7a2de66495b25a7e54b6fdbcfcb81d0fbc11a5a6ca8b861166,0.5439459812687675
controlled,week6-m4-f50-seed29,M4,50,29,ff191d6fb15e076672e3bf74abf9a27543fb956f0854dc8f8746447193880630,0.5808451018740985
controlled,week5-m4-f100-seed29,M4,100,29,61089d119135dab771a39cb19cf61410c46744a2f37018541db1888c85478250,0.5990929614686189
controlled,week5-m4-f01-seed43,M4,01,43,6b0b454b088202fa2aa0024363f418c0f0e49cdc1324ea82d6de906d6ed3afa8,0.2974950358206699
controlled,week6-m4-f05-seed43,M4,05,43,926ddbbe4b007eae4d2d2b5c9f3166c8381bcf8fa6981f671979ef66d3aeddca,0.3835810717293826
controlled,week5-m4-f10-seed43,M4,10,43,77136767301f2ad50724616de6830aca51efc08566ba36863b1c78831ceb74de,0.439391437751025
controlled,week6-m4-f25-seed43,M4,25,43,bc4705fcdf7ed04ed2d8b81ffb1d35ad833b611813c020fab11bf68e81d6a287,0.5398671492868088
controlled,week6-m4-f50-seed43,M4,50,43,356dd949419d42f00f1d9bc6ea195e0c98275391090c1ccdfa503f74edcbe282,0.5781923540670979
controlled,week5-m4-f100-seed43,M4,100,43,e0e5216663d1aeaa20aa92dcc142b493ff8206fa8291ecb6c17b106d16ff240b,0.6028033295944558
rgb-control,week6-m1rgb-f10-seed17,M1RGB,10,17,f2dedbaf98ede26e594b383f0049539a3a6cc7f4e032a02599b09db4471d21b7,0.49574737253214163
rgb-control,week6-m1rgb-f10-seed29,M1RGB,10,29,0c8f040a3b2ba4afd3f1ef044e4c971bc398ae90d75ed9e7e2dc67b43e872e50,0.4837731321820598
rgb-control,week6-m1rgb-f10-seed43,M1RGB,10,43,1bcb3c8a22a106d837f16ce93329b1aa8e1c71a3701d4f8dee3fcb91801a61b4,0.4884250146127511
